"Row.names"	"treatment"	"treatmentOrder"	"aquarium"	"extractionRound"	"Thigmotaxis"	"Speed"	"metabolicRate"	"Pretraining"	"Posttraining"	"rawbiteRateChange"	"biteRateChange"	"scaledThig"	"scaledSpeed"	"scaledBiteRate"	"scaledmetRate"	"Chao1"	"Shannon"
"S67_L001"	"oneug"	"low"	15	"five"	0.658610272	0.735555556	0.4273	22	16	-6	6	0.354737420171098	0.273614633461945	0.276344461647289	-0.11536052133626	647.5	3.88069951726267
"S68_L001"	"oneug"	"low"	13	"five"	0.801886792	0.706666667	0.5858	16	18	2	-2	1.08123014509134	0.170434764251333	-0.68705824868271	0.717153760964593	816.35	3.84277797036375
"S69_L001"	"oneug"	"low"	5	"five"	0.424657534	0.486666667	0.0116	14	18	4	-4	-0.831534846437351	-0.615319621330425	-0.927908926265209	-2.29880649706159	428.914893617021	3.72521007859477
"S7_L001"	"oneug"	"low"	1	"two"	0.788359788	0.42	0.1561	12	-4	-16	16	1.01264060930441	-0.853427012091191	1.48059784955979	-1.53982659931728	1043.06593406593	4.38334371200149
"S70_L001"	"oneug"	"low"	3	"five"	0.543062201	0.928888889	0.4983	6	0	-6	6	-0.231156437106195	0.964126062025073	0.276344461647289	0.257563857486205	579.4	4.28074526615701
"S71_L001"	"oneug"	"low"	15	"five"	0.540342298	0.908888889	0.5692	21	15	-6	6	-0.244947878592831	0.892693845154005	0.276344461647289	0.629962990704694	194.894736842105	2.68793369223516
"S72_L001"	"twoug"	"medium"	33	"five"	0.607052897	0.882222222	0.663	13	0	-13	13	0.0933124647528294	0.797450888135376	1.11932183318604	1.12264336723353	759.588235294118	4.48604930841485
"S73_L001"	"twoug"	"medium"	32	"five"	0.827309237	0.553333333	0.4208	21	10	-11	11	1.21013627250276	-0.377212234141269	0.878471155603538	-0.149501485594654	925.123076923077	4.47874681379191
"S74_L001"	"twoug"	"medium"	32	"five"	0.874643875	0.78	0.5375	22	23	1	-1	1.45014957086967	0.432352891588049	-0.56663290989146	0.463460134244523	978.076923076923	4.52502024681752
"S75_L001"	"twoug"	"medium"	23	"five"	0.782608696	0.46	0.3552	18	9	-9	9	0.983479330831513	-0.710562578349053	0.637620478021039	-0.494062601802452	925.814814814815	4.33398079362071
"S76_L001"	"twoug"	"medium"	28	"five"	0.76744186	0.382222222	0.3177	8	18	10	-10	0.906574922390699	-0.988354533641346	-1.65046095901271	-0.691029703293191	741	4.48340677359572
"S77_L001"	"twoug"	"medium"	24	"five"	0.359756098	1.093333333	0.6259	17	24	7	-7	-1.16062171350305	1.55145762137759	-1.28918494263896	0.927777248158689	853.505263157895	4.34397335592984
"S78_L001"	"twoug"	"medium"	31	"five"	0.462	1.111111111	0.1512	5	0	-5	5	-0.642187492945087	1.61495292605668	0.155919122856039	-1.56556363391207	797.78125	3.5611339355784
"S79_L001"	"control"	"control"	7	"five"	0.873925501	0.775555556	0.7562	17	7	-10	10	1.44650700972447	0.416479067204083	0.758045816812288	1.61217227013851	695.06	3.83822031384467
"S8_L001"	"oneug"	"low"	3	"two"	0.778481013	0.351111111	0.6315	25	11	-14	14	0.962549651144451	-1.09947131504394	1.23974717197729	0.957191001981306	1102.0487804878	4.23261537771876
"S80_L001"	"control"	"control"	19	"five"	0.39159292	1.004444444	0.1914	17	-2	-19	19	-0.999191078758571	1.23398110155377	1.84187386593354	-1.354414901114	902.474576271186	3.78349006771136
"S81_L001"	"control"	"control"	21	"five"	0.762616822	1.188888889	0.498	19	11	-8	8	0.882109259737365	1.89274488134897	0.517195139229789	0.255988120674279	488.073170731707	3.7748647793397
"S82_L001"	"control"	"control"	20	"five"	0.718417047	1.46	0.4201	20	13	-7	7	0.657991483980308	2.86104826520439	0.396769800438539	-0.153178204822482	370.676470588235	3.78492228969562
"S83_L001"	"control"	"control"	9	"five"	0.846681922	0.971111111	0.3777	4	0	-4	4	1.30836670631474	1.11492740795919	0.0354937840647894	-0.37588234090801	1533.68131868132	4.49553248604642
"S85_L001"	"fourug"	"xHigh"	48	"six"	0.833916084	1.271111111	0.5863	10	17	7	-7	1.24363671123592	2.18641066102523	-1.28918494263896	0.71977998898447	412.410256410256	3.45941938022586
"S86_L001"	"fourug"	"xHigh"	43	"six"	0.497925311	0.535555556	0.196	18	19	1	-1	-0.46002591418817	-0.440707535248744	-0.56663290989146	-1.33025360333113	879.223684210526	4.53197221228953
"S87_L001"	"fourug"	"xHigh"	44	"six"	0.622065728	0.946666667	0.4197	21	10	-11	11	0.169435981027213	1.02762136670416	0.878471155603538	-0.155279187238383	843.631578947368	4.23594191795012
"S88_L001"	"oneug"	"low"	2	"six"	0.69047619	0.84	0.1421	19	17	-2	2	0.516315588037716	0.646649542201255	-0.20535689351771	-1.61336098387382	957.963414634146	4.15327611354888
"S89_L001"	"twoug"	"medium"	31	"six"	0.526845638	0.662222222	0.7738	29	25	-4	4	-0.313383553194099	0.0116965025536184	0.0354937840647894	1.70461549643816	1111.55434782609	4.47317277171574
"S9_L001"	"control"	"control"	11	"six"	0.474006116	0.726666667	0.1336	19	0	-19	19	-0.581309716680362	0.241866981122402	1.84187386593354	-1.65800686021172	883.75	3.65102900833624
"S90_L001"	"twoug"	"medium"	27	"six"	0.689265537	0.393333333	0.5248	22	17	-5	5	0.510176894852658	-0.94866996910982	0.155919122856039	0.39675394253966	1044.78571428571	4.64297468662946
"S92_L001"	"twoug"	"medium"	24	"six"	0.457264957	0.52	0.6428	8	5	-3	3	-0.666196830216013	-0.496265927735847	-0.0849315547264604	1.01654375523052	1792.49462365591	4.8563902654477
"S93_L001"	"twoug"	"medium"	27	"six"	0.667752443	0.682222222	0.5332	15	14	-1	1	0.401093380809148	0.0831287194246873	-0.32578223230896	0.440874573273585	1402.96808510638	4.73434733201163
"S94_L001"	"twoug"	"medium"	25	"six"	0.282608696	0.92	0.1624	15	23	8	-8	-1.55180253154286	0.932378409685531	-1.40961028143021	-1.50673612626683	1484.62962962963	4.51813200095155
"S95_L001"	"twoug"	"medium"	32	"six"	0.416666667	0.24	0.2294	16	24	8	-8	-0.872053046776843	-1.49631696393081	-1.40961028143021	-1.15482157160338	533.558823529412	3.88389416465812
"S96_L001"	"control"	"control"	20	"six"	0.717277487	0.848888889	0.6494	14	10	-4	4	0.652213272382134	0.678397194540798	0.0354937840647894	1.05120996509289	674.018181818182	3.93746850869441
"S97_L001"	"control"	"control"	7	"six"	0.739130435	0.408888889	0.6273	10	13	3	-3	0.763020037789754	-0.893111576622717	-0.807483587473959	0.935130686614343	1128.92424242424	4.19146262301698
