feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
K09153,treatmentOrder,high,1.676471402,0.263862033,95,95,9.32E-09,2.64E-06
K14953,treatmentOrder,high,4.207220737,0.636926038,95,91,9.92E-09,2.79E-06
K14680,treatmentOrder,high,4.897124419,0.734965858,95,89,1.02E-08,2.86E-06
K19190,treatmentOrder,high,3.643158474,0.549013407,95,92,1.04E-08,2.88E-06
K14743,treatmentOrder,high,4.110361449,0.62324908,95,93,1.08E-08,2.97E-06
K03432,treatmentOrder,high,3.495519864,0.538040961,95,94,1.62E-08,4.41E-06
K03433,treatmentOrder,high,3.495519864,0.538040961,95,94,1.62E-08,4.41E-06
K10533,treatmentOrder,high,2.644375099,0.425341997,95,94,1.71E-08,4.63E-06
K07067,treatmentOrder,high,3.339504325,0.512980702,95,95,1.78E-08,4.82E-06
K10975,treatmentOrder,high,4.264227616,0.654570524,95,51,1.86E-08,4.99E-06
K01421,treatmentOrder,high,2.224227953,0.359055211,95,95,1.88E-08,5.02E-06
K19063,treatmentOrder,high,-4.505766359,0.695231394,95,88,2.32E-08,6.15E-06
K07123,treatmentOrder,medium,2.289158921,0.345616159,95,95,2.45E-08,6.45E-06
K01909,treatmentOrder,high,3.650114308,0.574213347,95,93,2.55E-08,6.68E-06
K03852,treatmentOrder,high,2.175786255,0.334966416,95,95,2.61E-08,6.80E-06
K01822,treatmentOrder,high,2.421755354,0.383967613,95,95,3.50E-08,9.07E-06
K09684,treatmentOrder,high,2.507755005,0.392319306,95,94,3.86E-08,9.95E-06
K07279,treatmentOrder,high,4.099479928,0.65236728,95,49,4.78E-08,1.23E-05
K03893,treatmentOrder,high,1.292195262,0.197911999,95,95,4.84E-08,1.24E-05
K17754,treatmentOrder,medium,3.557845222,0.599780451,95,81,5.93E-08,1.51E-05
K03335,treatmentOrder,high,1.281934306,0.198793668,95,95,6.55E-08,1.65E-05
K13640,treatmentOrder,high,2.51388447,0.425948466,95,95,6.76E-08,1.70E-05
K01130,treatmentOrder,high,0.986403181,0.151944691,95,95,7.15E-08,1.78E-05
K01699,treatmentOrder,high,2.782345073,0.453208893,95,95,7.39E-08,1.82E-05
K13920,treatmentOrder,high,2.782379353,0.453206616,95,95,7.39E-08,1.82E-05
K01218,treatmentOrder,high,2.906625756,0.472276239,95,95,7.82E-08,1.92E-05
K18221,treatmentOrder,high,4.229529343,0.688537856,95,93,8.29E-08,2.03E-05
K12299,treatmentOrder,high,4.036886674,0.657696305,95,53,8.72E-08,2.12E-05
K01212,treatmentOrder,high,3.021998916,0.490245936,95,95,9.01E-08,2.18E-05
K08252,treatmentOrder,high,2.698063969,0.462907807,95,94,9.28E-08,2.23E-05
K10621,treatmentOrder,medium,2.546160814,0.415142201,95,95,9.91E-08,2.36E-05
K15781,treatmentOrder,high,2.593592407,0.418277484,95,94,9.93E-08,2.36E-05
K01502,treatmentOrder,medium,1.618344536,0.26291723,95,95,1.44E-07,3.41E-05
K10843,treatmentOrder,high,2.733272746,0.46068826,95,95,1.51E-07,3.55E-05
K14338,treatmentOrder,high,3.357157414,0.555455528,95,93,1.56E-07,3.63E-05
K16301,treatmentOrder,high,1.732962704,0.281533723,95,95,1.55E-07,3.63E-05
K08095,treatmentOrder,high,4.279366043,0.723945712,95,89,1.61E-07,3.73E-05
K13787,treatmentOrder,high,2.617437878,0.443280801,95,95,1.64E-07,3.79E-05
K18701,treatmentOrder,medium,2.488428977,0.437747974,95,95,1.72E-07,3.95E-05
K00752,treatmentOrder,high,3.213235027,0.539178479,95,93,1.74E-07,3.97E-05
K19743,treatmentOrder,high,-3.225426767,0.547926285,95,94,1.75E-07,3.99E-05
K15864,treatmentOrder,high,-2.223489111,0.379594503,95,95,1.84E-07,4.16E-05
K00010,treatmentOrder,high,1.209233256,0.213386634,95,95,1.85E-07,4.18E-05
K11738,treatmentOrder,high,1.935376231,0.323953015,95,95,1.90E-07,4.25E-05
K18581,treatmentOrder,high,2.231508272,0.377985005,95,95,1.92E-07,4.28E-05
K02584,treatmentOrder,high,-1.829985934,0.314976182,95,95,2.02E-07,4.48E-05
K06191,treatmentOrder,high,1.56711273,0.278193856,95,95,2.14E-07,4.73E-05
K03517,treatmentOrder,high,-0.316676963,0.054386639,95,95,2.18E-07,4.80E-05
K07224,treatmentOrder,high,1.708519925,0.280696925,95,95,2.22E-07,4.86E-05
K00043,treatmentOrder,high,-5.37523012,0.925557529,95,70,2.34E-07,5.09E-05
K19052,treatmentOrder,medium,3.924721394,0.658552199,95,90,2.35E-07,5.10E-05
K14520,treatmentOrder,medium,2.680986776,0.452685037,95,94,2.59E-07,5.58E-05
K19355,treatmentOrder,high,2.317921124,0.397678286,95,95,2.71E-07,5.82E-05
K19344,treatmentOrder,high,-2.205094113,0.383634907,95,95,2.79E-07,5.95E-05
K19345,treatmentOrder,high,-2.204985922,0.383606745,95,95,2.79E-07,5.95E-05
K00363,treatmentOrder,high,0.548598052,0.097109719,95,95,2.96E-07,6.26E-05
K06221,treatmentOrder,high,1.256708035,0.226195342,95,95,2.97E-07,6.26E-05
K18926,treatmentOrder,medium,2.262351917,0.407549135,95,95,3.03E-07,6.36E-05
K00276,treatmentOrder,high,1.737275564,0.306224134,95,95,3.06E-07,6.41E-05
K07604,treatmentOrder,high,6.18540845,1.065000463,95,71,3.11E-07,6.47E-05
K00278,treatmentOrder,high,-0.312627965,0.054637316,95,95,3.25E-07,6.73E-05
K11921,treatmentOrder,medium,1.330816454,0.241255285,95,95,3.51E-07,7.24E-05
K05337,treatmentOrder,high,1.703208878,0.290452882,95,95,3.94E-07,8.06E-05
K18785,treatmentOrder,high,3.411039975,0.596978839,95,93,3.94E-07,8.06E-05
K03202,treatmentOrder,high,3.301551049,0.602747557,95,91,4.13E-07,8.41E-05
K15857,treatmentOrder,high,3.719481442,0.648229042,95,56,4.28E-07,8.67E-05
K07695,treatmentOrder,high,3.502949649,0.616576016,95,92,4.35E-07,8.77E-05
K00032,treatmentOrder,medium,2.238417175,0.384051346,95,95,4.52E-07,9.01E-05
K06610,treatmentOrder,high,2.330497913,0.411694968,95,93,4.51E-07,9.01E-05
K14680,treatmentOrder,medium,4.271476356,0.74061472,95,89,4.52E-07,9.01E-05
K03478,treatmentOrder,high,1.314348135,0.227953266,95,95,4.57E-07,9.07E-05
K10834,treatmentOrder,high,6.346986992,1.127121989,95,63,4.78E-07,9.45E-05
K00038,treatmentOrder,high,2.248637186,0.413995773,95,94,5.01E-07,9.85E-05
K00881,treatmentOrder,high,3.203884209,0.562487468,95,90,5.45E-07,0.000105932
K18976,treatmentOrder,high,3.637366958,0.649576134,95,33,5.44E-07,0.000105932
K19051,treatmentOrder,high,6.076646901,1.08893927,95,61,5.42E-07,0.000105932
K08679,treatmentOrder,high,-0.527085172,0.095627764,95,95,6.35E-07,0.000122885
K01235,treatmentOrder,high,1.60694859,0.287765564,95,95,6.65E-07,0.000128162
K05922,treatmentOrder,high,3.662472183,0.662697316,95,35,7.81E-07,0.000148545
K05927,treatmentOrder,high,3.662472183,0.662697316,95,35,7.81E-07,0.000148545
K16293,treatmentOrder,high,3.662472183,0.662697316,95,35,7.81E-07,0.000148545
K12234,treatmentOrder,high,2.31497762,0.435479702,95,94,8.10E-07,0.000153484
K00368,treatmentOrder,high,1.449047028,0.265085777,95,95,8.39E-07,0.000158424
K15520,treatmentOrder,high,2.463084886,0.448315104,95,95,8.81E-07,0.000165583
K13061,treatmentOrder,high,2.760010542,0.487578203,95,92,8.91E-07,0.000166832
K13775,treatmentOrder,medium,1.359262133,0.241405866,95,95,9.05E-07,0.000168724
K17363,treatmentOrder,high,3.511294704,0.64144202,95,35,9.09E-07,0.000168751
K03260,treatmentOrder,high,6.296524603,1.155981619,95,61,9.28E-07,0.000171627
K11106,treatmentOrder,high,2.609796434,0.475828889,95,94,9.53E-07,0.000175612
K16294,treatmentOrder,high,3.676854981,0.672640561,95,35,9.82E-07,0.000180206
K11740,treatmentOrder,high,-1.265209105,0.241237768,95,94,1.09E-06,0.000198723
K15930,treatmentOrder,high,4.147855789,0.775399086,95,31,1.10E-06,0.000201099
K09804,treatmentOrder,high,-4.322630508,0.825583682,95,50,1.13E-06,0.000204451
K03338,treatmentOrder,high,1.040076766,0.198977926,95,95,1.17E-06,0.00021112
K14941,treatmentOrder,high,2.328206708,0.445527305,95,94,1.18E-06,0.000211484
K06860,treatmentOrder,high,2.149680293,0.394923436,95,95,1.23E-06,0.000219699
K09516,treatmentOrder,medium,1.543948598,0.278263473,95,95,1.26E-06,0.000225662
K13573,treatmentOrder,high,2.303796985,0.427705999,95,95,1.28E-06,0.000228445
K13485,treatmentOrder,high,-1.852989056,0.346219224,95,94,1.29E-06,0.000229023
K18235,treatmentOrder,high,2.626247507,0.489809649,95,93,1.30E-06,0.000230217
K07544,treatmentOrder,medium,4.849049866,0.934221999,95,60,1.36E-06,0.000238868
K15067,treatmentOrder,high,-1.856614931,0.346633961,95,94,1.42E-06,0.000248492
K11212,treatmentOrder,high,2.313242546,0.44721604,95,94,1.46E-06,0.000255133
K11779,treatmentOrder,high,2.340524601,0.453583235,95,94,1.54E-06,0.000267466
K03336,treatmentOrder,high,1.208591099,0.223329981,95,95,1.55E-06,0.000268706
K18013,treatmentOrder,high,-4.498719041,0.834017781,95,56,1.60E-06,0.000276863
K16218,treatmentOrder,medium,3.79711414,0.737531839,95,82,1.61E-06,0.000277409
K12685,treatmentOrder,medium,2.116733965,0.384592927,95,95,1.62E-06,0.000277627
K02525,treatmentOrder,high,1.465474821,0.271570848,95,95,1.64E-06,0.000279789
K13040,treatmentOrder,medium,-1.931941154,0.357021085,95,95,1.67E-06,0.000284189
K19209,treatmentOrder,high,6.157106492,1.17067987,95,64,1.78E-06,0.000301983
K00543,treatmentOrder,high,4.795331248,0.907989324,95,65,1.88E-06,0.000317515
K19169,treatmentOrder,high,-3.507540103,0.659550303,95,91,1.89E-06,0.000318569
K07100,treatmentOrder,high,2.140375684,0.410415451,95,95,1.94E-06,0.000325793
