	S10_L001	S11_L001	S12_L001	S13_L001	S14_L001	S15_L001	S16_L001	S17_L001	S18_L001	S19_L001	S1_L001	S20_L001	S21_L001	S22_L001	S23_L001	S25_L001	S26_L001	S27_L001	S28_L001	S29_L001	S2_L001	S30_L001	S31_L001	S32_L001	S33_L001	S34_L001	S35_L001	S36_L001	S37_L001	S38_L001	S39_L001	S3_L001	S40_L001	S41_L001	S42_L001	S43_L001	S44_L001	S45_L001	S46_L001	S47_L001	S48_L001	S49_L001	S4_L001	S50_L001	S51_L001	S52_L001	S53_L001	S54_L001	S55_L001	S56_L001	S57_L001	S58_L001	S59_L001	S5_L001	S61_L001	S62_L001	S63_L001	S64_L001	S65_L001	S66_L001	S67_L001	S68_L001	S69_L001	S6_L001	S70_L001	S71_L001	S72_L001	S73_L001	S74_L001	S75_L001	S76_L001	S77_L001	S78_L001	S79_L001	S7_L001	S80_L001	S81_L001	S82_L001	S83_L001	S85_L001	S86_L001	S87_L001	S88_L001	S89_L001	S8_L001	S90_L001	S92_L001	S93_L001	S94_L001	S95_L001	S96_L001	S97_L001	S9_L001	E5B55_L001	E5B56_L001
otunum1032	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
otunum1033	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	1	5	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	1	2	1	3	0	1	3	0	0	0	0	3	0	1	0
otunum1034	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1035	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1036	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
otunum1037	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1038	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
otunum1039	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum104	604	8	63	0	0	2	0	2	0	0	10	39	33	4	1	1	1	28	1	14	6	0	0	44	0	1	14	0	40	0	0	0	0	1	1	4	0	0	0	0	1	2	3	1	0	1	8	0	69	0	0	4	2	1	2	0	1	0	1	0	0	33	0	7	0	0	0	0	0	1	0	0	0	8	3	20	0	0	1	0	3	1	0	0	24	0	0	2	0	0	1	12	27	1	0
otunum1040	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
